date_key,week_id,period_id,quarter_id,year,fiscal_year_label,week_start_date,week_end_date,is_holiday_week,season
202401,1,1,1,2024,FY24,2024-01-29,2024-02-04,1,Q1-Winter
202402,2,1,1,2024,FY24,2024-02-05,2024-02-11,0,Q1-Winter
202403,3,1,1,2024,FY24,2024-02-12,2024-02-18,0,Q1-Winter
202404,4,1,1,2024,FY24,2024-02-19,2024-02-25,0,Q1-Winter
202405,5,2,1,2024,FY24,2024-02-26,2024-03-03,0,Q1-Winter
202406,6,2,1,2024,FY24,2024-03-04,2024-03-10,0,Q1-Winter
202407,7,2,1,2024,FY24,2024-03-11,2024-03-17,0,Q1-Winter
202408,8,2,1,2024,FY24,2024-03-18,2024-03-24,0,Q1-Winter
202409,9,3,1,2024,FY24,2024-03-25,2024-03-31,0,Q1-Winter
202410,10,3,1,2024,FY24,2024-04-01,2024-04-07,0,Q1-Winter
202411,11,3,1,2024,FY24,2024-04-08,2024-04-14,0,Q1-Winter
202412,12,3,1,2024,FY24,2024-04-15,2024-04-21,0,Q1-Winter
202413,13,4,2,2024,FY24,2024-04-22,2024-04-28,1,Q2-Spring
202414,14,4,2,2024,FY24,2024-04-29,2024-05-05,0,Q2-Spring
202415,15,4,2,2024,FY24,2024-05-06,2024-05-12,0,Q2-Spring
202416,16,4,2,2024,FY24,2024-05-13,2024-05-19,0,Q2-Spring
202417,17,5,2,2024,FY24,2024-05-20,2024-05-26,1,Q2-Spring
202418,18,5,2,2024,FY24,2024-05-27,2024-06-02,0,Q2-Spring
202419,19,5,2,2024,FY24,2024-06-03,2024-06-09,0,Q2-Spring
202420,20,5,2,2024,FY24,2024-06-10,2024-06-16,0,Q2-Spring
202421,21,6,2,2024,FY24,2024-06-17,2024-06-23,0,Q2-Spring
202422,22,6,2,2024,FY24,2024-06-24,2024-06-30,0,Q2-Spring
202423,23,6,2,2024,FY24,2024-07-01,2024-07-07,0,Q2-Spring
202424,24,6,2,2024,FY24,2024-07-08,2024-07-14,0,Q2-Spring
202425,25,7,3,2024,FY24,2024-07-15,2024-07-21,0,Q3-Summer
202426,26,7,3,2024,FY24,2024-07-22,2024-07-28,1,Q3-Summer
202427,27,7,3,2024,FY24,2024-07-29,2024-08-04,0,Q3-Summer
202428,28,7,3,2024,FY24,2024-08-05,2024-08-11,0,Q3-Summer
202429,29,8,3,2024,FY24,2024-08-12,2024-08-18,0,Q3-Summer
202430,30,8,3,2024,FY24,2024-08-19,2024-08-25,0,Q3-Summer
202431,31,8,3,2024,FY24,2024-08-26,2024-09-01,0,Q3-Summer
202432,32,8,3,2024,FY24,2024-09-02,2024-09-08,0,Q3-Summer
202433,33,9,3,2024,FY24,2024-09-09,2024-09-15,0,Q3-Summer
202434,34,9,3,2024,FY24,2024-09-16,2024-09-22,0,Q3-Summer
202435,35,9,3,2024,FY24,2024-09-23,2024-09-29,0,Q3-Summer
202436,36,9,3,2024,FY24,2024-09-30,2024-10-06,0,Q3-Summer
202437,37,10,4,2024,FY24,2024-10-07,2024-10-13,0,Q4-Holiday
202438,38,10,4,2024,FY24,2024-10-14,2024-10-20,0,Q4-Holiday
202439,39,10,4,2024,FY24,2024-10-21,2024-10-27,1,Q4-Holiday
202440,40,10,4,2024,FY24,2024-10-28,2024-11-03,0,Q4-Holiday
202441,41,11,4,2024,FY24,2024-11-04,2024-11-10,0,Q4-Holiday
