store_id,store_number,region,state,store_format,market_number,urbanicity,market_cluster,volume_tier,comp_store_flag,avg_weekly_footfall,distribution_center
101,101,South,GA,Supercenter,116,Suburban,B,Mid,1,10428,DC_Central
102,102,West,OR,Supercenter,142,Urban,C,Low,1,19296,DC_North
103,103,Midwest,MO,Supercenter,130,Rural,E,Mid,1,15813,DC_Central
104,104,Midwest,OH,Supercenter,116,Rural,E,Mid,1,22414,DC_East
105,105,South,OK,Supercenter,112,Suburban,B,High,1,19801,DC_South
106,106,South,NC,Supercenter,117,Rural,E,High,1,19745,DC_Central
107,107,South,SC,Supercenter,116,Rural,B,High,1,21025,DC_Central
108,108,East,CT,Supercenter,112,Suburban,E,Low,1,11356,DC_South
109,109,Midwest,NE,Supercenter,108,Rural,E,Mid,1,22288,DC_North
110,110,Midwest,KS,Supercenter,120,Rural,B,Mid,1,14540,DC_South
111,111,South,TX,Supercenter,103,Rural,D,High,1,24422,DC_Central
112,112,Mountain,ID,Neighborhood Market,116,Urban,E,Low,1,11342,DC_North
113,113,East,VA,Supercenter,130,Suburban,C,Low,1,17078,DC_North
114,114,South,AR,Supercenter,145,Suburban,D,High,1,10844,DC_South
115,115,South,OK,Neighborhood Market,123,Suburban,B,High,0,18396,DC_Central
116,116,South,TN,Discount Store,128,Urban,D,High,0,21998,DC_East
117,117,South,GA,Supercenter,140,Urban,A,Mid,1,21261,DC_Central
118,118,Midwest,MI,Supercenter,105,Suburban,A,Mid,1,11093,DC_West
119,119,South,NC,Neighborhood Market,120,Urban,E,Mid,1,19722,DC_East
120,120,South,LA,Supercenter,140,Suburban,E,Mid,1,19645,DC_North
121,121,Midwest,KS,Supercenter,144,Urban,C,Mid,1,23083,DC_East
122,122,South,LA,Supercenter,101,Rural,D,High,1,8988,DC_North
123,123,South,AL,Supercenter,130,Rural,A,Mid,1,14446,DC_North
124,124,South,NC,Supercenter,121,Suburban,E,Mid,1,24335,DC_East
125,125,South,NC,Supercenter,120,Urban,D,Mid,1,24133,DC_North
126,126,East,NJ,Supercenter,106,Urban,E,Low,1,9682,DC_North
127,127,South,AR,Supercenter,122,Rural,E,High,1,13626,DC_West
128,128,Midwest,WI,Supercenter,118,Rural,A,Mid,1,15424,DC_Central
129,129,Midwest,IN,Supercenter,108,Urban,A,Mid,1,20857,DC_Central
130,130,South,MS,Supercenter,139,Urban,E,High,1,20155,DC_West
131,131,Midwest,IL,Supercenter,132,Urban,B,Mid,1,19425,DC_East
132,132,South,AL,Neighborhood Market,133,Urban,E,High,0,9980,DC_South
133,133,South,OK,Supercenter,116,Urban,E,High,1,23522,DC_South
134,134,West,CA,Supercenter,112,Urban,C,Low,1,16984,DC_South
135,135,Mountain,ID,Supercenter,138,Suburban,C,Low,1,23883,DC_West
136,136,East,NJ,Supercenter,134,Urban,C,Low,1,13390,DC_West
137,137,South,NC,Supercenter,114,Rural,B,Mid,1,9607,DC_North
138,138,South,AR,Supercenter,136,Suburban,B,High,1,14573,DC_South
139,139,Midwest,NE,Supercenter,133,Urban,E,Mid,1,13776,DC_East
140,140,South,AL,Supercenter,123,Rural,C,Mid,1,11676,DC_East
141,141,South,TX,Supercenter,150,Suburban,B,High,1,11380,DC_South
142,142,South,OK,Supercenter,145,Rural,A,Mid,1,16711,DC_South
143,143,South,AR,Supercenter,102,Urban,E,High,1,16782,DC_South
144,144,West,CA,Supercenter,141,Urban,D,Low,1,21997,DC_West
145,145,South,FL,Supercenter,121,Urban,E,Mid,1,14342,DC_West
146,146,Midwest,KS,Neighborhood Market,102,Urban,D,Mid,0,14059,DC_West
147,147,South,NC,Supercenter,127,Suburban,C,Mid,1,16884,DC_Central
148,148,Midwest,WI,Supercenter,109,Suburban,D,Mid,1,13655,DC_East
149,149,Midwest,MN,Neighborhood Market,101,Rural,C,Mid,1,20091,DC_East
150,150,South,AR,Supercenter,111,Urban,A,High,1,23251,DC_North
151,151,Mountain,ID,Supercenter,103,Rural,D,Low,1,8526,DC_West
152,152,East,MD,Supercenter,123,Suburban,E,Low,1,11224,DC_Central
153,153,West,UT,Supercenter,126,Urban,C,Low,1,23069,DC_Central
154,154,West,NV,Supercenter,104,Urban,E,Low,1,19536,DC_East
155,155,Midwest,KS,Supercenter,118,Suburban,B,Mid,1,21547,DC_West
156,156,West,WA,Supercenter,106,Suburban,C,Low,1,9763,DC_North
157,157,South,GA,Supercenter,135,Suburban,D,High,1,16712,DC_West
158,158,South,OK,Supercenter,122,Suburban,C,High,1,13797,DC_South
159,159,South,MS,Supercenter,143,Suburban,E,High,1,17208,DC_West
160,160,South,FL,Supercenter,115,Urban,A,Mid,1,13109,DC_South
161,161,South,SC,Supercenter,122,Suburban,C,Mid,1,24500,DC_South
162,162,South,OK,Discount Store,137,Urban,D,Mid,0,10433,DC_North
163,163,East,VA,Supercenter,142,Urban,B,Low,1,24967,DC_East
164,164,South,TN,Supercenter,112,Suburban,A,Mid,1,12167,DC_West
165,165,South,GA,Supercenter,147,Suburban,B,Mid,1,16357,DC_South
166,166,Midwest,MO,Supercenter,149,Urban,C,Mid,1,14154,DC_West
167,167,South,LA,Supercenter,142,Suburban,E,High,1,16920,DC_East
168,168,East,VA,Supercenter,138,Suburban,E,Low,1,8213,DC_East
169,169,South,TN,Supercenter,118,Suburban,D,High,1,11762,DC_Central
170,170,Mountain,NM,Supercenter,145,Rural,E,Low,1,21399,DC_East
171,171,East,DE,Supercenter,135,Urban,A,Low,1,17768,DC_North
