week_id,store_id,item_id,on_hand_units_bop,receipt_units,sold_units,on_hand_units_eop,lost_sales_units,demand_forecast_units,weeks_of_supply,days_of_supply,in_stock_flag,fill_rate,lead_time_days,reorder_point_units,case_pack_qty
1,211,1001,356,0,161,195,0,161,1.21,15.5,1,1.0,5,144,4
2,211,1001,195,0,153,42,0,153,0.27,8.9,1,1.0,5,136,4
3,211,1001,42,452,42,452,145,187,2.42,1.6,0,0.2246,5,168,4
4,211,1001,452,0,145,307,0,145,2.12,21.8,1,1.0,5,128,4
5,211,1001,307,0,164,143,0,164,0.87,13.1,1,1.0,5,148,4
6,211,1001,143,304,141,306,0,141,2.17,7.1,1,1.0,5,124,4
7,211,1001,306,0,180,126,0,180,0.7,11.9,1,1.0,5,160,4
8,211,1001,126,340,126,340,21,147,2.31,6.0,1,0.8571,5,132,4
9,211,1001,340,0,150,190,0,150,1.27,15.9,1,1.0,5,132,4
10,211,1001,190,0,153,37,0,153,0.24,8.7,1,1.0,5,136,4
11,211,1001,37,348,37,348,142,179,1.94,1.4,0,0.2067,5,160,4
12,211,1001,348,0,161,187,0,161,1.16,15.1,1,1.0,5,144,4
13,211,1001,187,284,165,306,0,165,1.85,7.9,1,1.0,5,148,4
14,211,1001,306,0,168,138,0,168,0.82,12.8,1,1.0,5,152,4
15,211,1001,138,440,138,440,76,214,2.06,4.5,1,0.6449,5,192,4
16,211,1001,440,0,168,272,0,168,1.62,18.3,1,1.0,5,152,4
17,211,1001,272,0,165,107,0,165,0.65,11.5,1,1.0,5,148,4
18,211,1001,107,252,107,252,54,161,1.57,4.7,1,0.6646,5,144,4
19,211,1001,252,0,158,94,0,158,0.59,11.2,1,1.0,5,140,4
20,211,1001,94,356,94,356,59,153,2.33,4.3,1,0.6144,5,136,4
21,211,1001,356,0,148,208,0,148,1.41,16.8,1,1.0,5,132,4
22,211,1001,208,0,145,63,0,145,0.43,10.0,1,1.0,5,128,4
23,211,1001,63,304,63,304,79,142,2.14,3.1,0,0.4437,5,128,4
24,211,1001,304,0,141,163,0,141,1.16,15.1,1,1.0,5,124,4
25,211,1001,163,328,145,346,0,145,2.39,7.9,1,1.0,5,128,4
26,211,1001,346,0,150,196,0,150,1.31,16.1,1,1.0,5,132,4
27,211,1001,196,356,191,361,0,191,1.89,7.2,1,1.0,5,172,4
28,211,1001,361,0,156,205,0,156,1.31,16.2,1,1.0,5,140,4
