week_id,item_id,promo_mechanism_id_ty,promo_mechanism_id_ly,is_promo_ty,is_promo_ly,promo_price_ty,promo_price_ly,estimated_base_units,estimated_promo_units,incremental_units,promo_lift_pct,supplier_funding_rate,est_trade_spend,roi_estimate,overlap_feature_display
1,1001,0,0,0,0,12.97,12.97,9450,9450,0,0.0,0.0,0.0,0.0,0
2,1001,0,0,0,0,12.97,12.97,9000,9000,0,0.0,0.0,0.0,0.0,0
3,1001,3,0,1,0,12.97,12.97,8820,11025,2205,25.0,0.05,7149.71,1.12,0
4,1001,0,1,0,1,12.97,11.67,8550,8550,0,0.0,0.0,0.0,0.0,0
5,1001,1,3,1,1,11.67,12.97,8370,9626,1256,15.0,0.1,12484.92,0.365,0
6,1001,0,1,0,1,12.97,11.67,8280,8280,0,0.0,0.0,0.0,0.0,0
7,1001,3,0,1,0,12.97,12.97,8460,10575,2115,25.0,0.05,6857.89,1.12,0
8,1001,0,0,0,0,12.97,12.97,8640,8640,0,0.0,0.0,0.0,0.0,0
9,1001,0,0,0,0,12.97,12.97,8820,8820,0,0.0,0.0,0.0,0.0,0
10,1001,0,0,0,0,12.97,12.97,9000,9000,0,0.0,0.0,0.0,0.0,0
11,1001,1,0,1,0,11.67,12.97,9180,10557,1377,15.0,0.1,13692.43,0.365,0
12,1001,0,0,0,0,12.97,12.97,9450,9450,0,0.0,0.0,0.0,0.0,0
13,1001,0,0,0,0,12.97,12.97,9720,9720,0,0.0,0.0,0.0,0.0,0
14,1001,0,0,0,0,12.97,12.97,9900,9900,0,0.0,0.0,0.0,0.0,0
15,1001,3,3,1,1,12.97,12.97,10080,12600,2520,25.0,0.05,8171.1,1.12,0
16,1001,0,1,0,1,12.97,11.67,9900,9900,0,0.0,0.0,0.0,0.0,0
17,1001,0,0,0,0,12.97,12.97,9720,9720,0,0.0,0.0,0.0,0.0,0
18,1001,0,0,0,0,12.97,12.97,9450,9450,0,0.0,0.0,0.0,0.0,0
19,1001,0,0,0,0,12.97,12.97,9270,9270,0,0.0,0.0,0.0,0.0,0
20,1001,0,0,0,0,12.97,12.97,9000,9000,0,0.0,0.0,0.0,0.0,0
21,1001,0,0,0,0,12.97,12.97,8730,8730,0,0.0,0.0,0.0,0.0,0
22,1001,0,1,0,1,12.97,11.67,8550,8550,0,0.0,0.0,0.0,0.0,0
23,1001,0,0,0,0,12.97,12.97,8370,8370,0,0.0,0.0,0.0,0.0,0
24,1001,0,0,0,0,12.97,12.97,8280,8280,0,0.0,0.0,0.0,0.0,0
25,1001,0,0,0,0,12.97,12.97,8550,8550,0,0.0,0.0,0.0,0.0,0
