week_id,store_id,item_id,promo_mechanism_id,units_ty,sales_dollars_ty,markdown_dollars_ty,regular_price_ty,sell_price_ty,units_ly,sales_dollars_ly,markdown_dollars_ly,regular_price_ly,sell_price_ly,dollar_chg_yoy,unit_chg_yoy,pct_chg_yoy,is_on_promo,promo_lift_units,gross_margin_ty,gross_margin_ly
1,211,1001,0,140,1815.8,0.0,12.97,12.97,133,1725.01,0.0,12.97,12.97,90.79,7,5.26,0,0,508.42,483.0
2,211,1001,0,125,1621.25,0.0,12.97,12.97,113,1465.61,0.0,12.97,12.97,155.64,12,10.62,0,0,453.95,410.37
3,211,1001,3,158,2049.26,0.0,12.97,12.97,121,1569.37,0.0,12.97,12.97,479.89,37,30.58,1,32,573.79,439.42
4,211,1001,0,120,1556.4,0.0,12.97,12.97,126,1470.42,163.42,12.97,11.67,85.98,-6,5.85,0,0,435.79,411.72
5,211,1001,1,133,1552.11,172.5,12.97,11.67,141,1828.77,0.0,12.97,12.97,-276.66,-8,-15.13,1,17,434.59,512.06
6,211,1001,0,115,1491.55,0.0,12.97,12.97,122,1423.74,158.23,12.97,11.67,67.81,-7,4.76,0,0,417.63,398.65
7,211,1001,3,153,1984.41,0.0,12.97,12.97,117,1517.49,0.0,12.97,12.97,466.92,36,30.77,1,30,555.63,424.9
8,211,1001,0,116,1504.52,0.0,12.97,12.97,118,1530.46,0.0,12.97,12.97,-25.94,-2,-1.69,0,0,421.27,428.53
9,211,1001,0,119,1543.43,0.0,12.97,12.97,109,1413.73,0.0,12.97,12.97,129.7,10,9.17,0,0,432.16,395.84
10,211,1001,0,124,1608.28,0.0,12.97,12.97,123,1595.31,0.0,12.97,12.97,12.97,1,0.81,0,0,450.32,446.69
11,211,1001,1,155,1808.85,201.04,12.97,11.67,125,1621.25,0.0,12.97,12.97,187.6,30,11.57,1,20,506.48,453.95
12,211,1001,0,129,1673.13,0.0,12.97,12.97,121,1569.37,0.0,12.97,12.97,103.76,8,6.61,0,0,468.48,439.42
13,211,1001,0,157,2036.29,0.0,12.97,12.97,135,1750.95,0.0,12.97,12.97,285.34,22,16.3,0,0,570.16,490.27
14,211,1001,0,132,1712.04,0.0,12.97,12.97,133,1725.01,0.0,12.97,12.97,-12.97,-1,-0.75,0,0,479.37,483.0
15,211,1001,3,176,2282.72,0.0,12.97,12.97,160,2075.2,0.0,12.97,12.97,207.52,16,10.0,1,35,639.16,581.06
16,211,1001,0,142,1841.74,0.0,12.97,12.97,141,1645.47,182.88,12.97,11.67,196.27,1,11.93,0,0,515.69,460.73
17,211,1001,0,143,1854.71,0.0,12.97,12.97,132,1712.04,0.0,12.97,12.97,142.67,11,8.33,0,0,519.32,479.37
18,211,1001,0,129,1673.13,0.0,12.97,12.97,118,1530.46,0.0,12.97,12.97,142.67,11,9.32,0,0,468.48,428.53
19,211,1001,0,136,1763.92,0.0,12.97,12.97,116,1504.52,0.0,12.97,12.97,259.4,20,17.24,0,0,493.9,421.27
20,211,1001,0,132,1712.04,0.0,12.97,12.97,114,1478.58,0.0,12.97,12.97,233.46,18,15.79,0,0,479.37,414.0
21,211,1001,0,125,1621.25,0.0,12.97,12.97,117,1517.49,0.0,12.97,12.97,103.76,8,6.84,0,0,453.95,424.9
22,211,1001,0,124,1608.28,0.0,12.97,12.97,131,1528.77,169.91,12.97,11.67,79.51,-7,5.2,0,0,450.32,428.06
23,211,1001,0,120,1556.4,0.0,12.97,12.97,106,1374.82,0.0,12.97,12.97,181.58,14,13.21,0,0,435.79,384.95
24,211,1001,0,111,1439.67,0.0,12.97,12.97,106,1374.82,0.0,12.97,12.97,64.85,5,4.72,0,0,403.11,384.95
25,211,1001,0,125,1621.25,0.0,12.97,12.97,112,1452.64,0.0,12.97,12.97,168.61,13,11.61,0,0,453.95,406.74
26,211,1001,0,140,1815.8,0.0,12.97,12.97,144,1680.48,186.77,12.97,11.67,135.32,-4,8.05,0,0,508.42,470.53
27,211,1001,3,158,2049.26,0.0,12.97,12.97,112,1452.64,0.0,12.97,12.97,596.62,46,41.07,1,32,573.79,406.74
28,211,1001,0,125,1621.25,0.0,12.97,12.97,126,1634.22,0.0,12.97,12.97,-12.97,-1,-0.79,0,0,453.95,457.58
29,211,1001,3,161,2088.17,0.0,12.97,12.97,117,1517.49,0.0,12.97,12.97,570.68,44,37.61,1,32,584.69,424.9
30,211,1001,0,137,1776.89,0.0,12.97,12.97,145,1692.15,188.07,12.97,11.67,84.74,-8,5.01,0,0,497.53,473.8
31,211,1001,0,144,1867.68,0.0,12.97,12.97,132,1712.04,0.0,12.97,12.97,155.64,12,9.09,0,0,522.95,479.37
32,211,1001,0,135,1750.95,0.0,12.97,12.97,135,1750.95,0.0,12.97,12.97,0.0,0,0.0,0,0,490.27,490.27
33,211,1001,0,140,1815.8,0.0,12.97,12.97,124,1608.28,0.0,12.97,12.97,207.52,16,12.9,0,0,508.42,450.32
34,211,1001,0,128,1660.16,0.0,12.97,12.97,131,1699.07,0.0,12.97,12.97,-38.91,-3,-2.29,0,0,464.84,475.74
35,211,1001,1,159,1855.53,206.22,12.97,11.67,134,1737.98,0.0,12.97,12.97,117.55,25,6.76,1,21,519.55,486.63
36,211,1001,2,159,1855.53,206.22,12.97,11.67,119,1543.43,0.0,12.97,12.97,312.1,40,20.22,1,36,519.55,432.16
37,211,1001,0,131,1699.07,0.0,12.97,12.97,114,1478.58,0.0,12.97,12.97,220.49,17,14.91,0,0,475.74,414.0
38,211,1001,0,121,1569.37,0.0,12.97,12.97,127,1647.19,0.0,12.97,12.97,-77.82,-6,-4.72,0,0,439.42,461.21
39,211,1001,0,140,1815.8,0.0,12.97,12.97,141,1828.77,0.0,12.97,12.97,-12.97,-1,-0.71,0,0,508.42,512.06
40,211,1001,3,155,2010.35,0.0,12.97,12.97,113,1465.61,0.0,12.97,12.97,544.74,42,37.17,1,31,562.9,410.37
41,211,1001,0,126,1634.22,0.0,12.97,12.97,110,1426.7,0.0,12.97,12.97,207.52,16,14.55,0,0,457.58,399.48
42,211,1001,0,125,1621.25,0.0,12.97,12.97,121,1569.37,0.0,12.97,12.97,51.88,4,3.31,0,0,453.95,439.42
43,211,1001,0,132,1712.04,0.0,12.97,12.97,149,1932.53,0.0,12.97,12.97,-220.49,-17,-11.41,0,0,479.37,541.11
44,211,1001,0,131,1699.07,0.0,12.97,12.97,142,1657.14,184.17,12.97,11.67,41.93,-11,2.53,0,0,475.74,464.0
45,211,1001,0,143,1854.71,0.0,12.97,12.97,163,2114.11,0.0,12.97,12.97,-259.4,-20,-12.27,0,0,519.32,591.95
46,211,1001,4,170,2204.9,0.0,12.97,12.97,141,1828.77,0.0,12.97,12.97,376.13,29,20.57,1,18,617.37,512.06
47,211,1001,3,204,2645.88,0.0,12.97,12.97,155,2010.35,0.0,12.97,12.97,635.53,49,31.61,1,40,740.85,562.9
48,211,1001,0,168,2178.96,0.0,12.97,12.97,159,2062.23,0.0,12.97,12.97,116.73,9,5.66,0,0,610.11,577.42
49,211,1001,0,146,1893.62,0.0,12.97,12.97,142,1841.74,0.0,12.97,12.97,51.88,4,2.82,0,0,530.21,515.69
50,211,1001,3,178,2308.66,0.0,12.97,12.97,129,1673.13,0.0,12.97,12.97,635.53,49,37.98,1,36,646.42,468.48
51,211,1001,0,132,1712.04,0.0,12.97,12.97,127,1647.19,0.0,12.97,12.97,64.85,5,3.94,0,0,479.37,461.21
52,211,1001,0,137,1776.89,0.0,12.97,12.97,132,1712.04,0.0,12.97,12.97,64.85,5,3.79,0,0,497.53,479.37
1,520,1001,0,130,1686.1,0.0,12.97,12.97,123,1595.31,0.0,12.97,12.97,90.79,7,5.69,0,0,472.11,446.69
2,520,1001,0,124,1608.28,0.0,12.97,12.97,112,1452.64,0.0,12.97,12.97,155.64,12,10.71,0,0,450.32,406.74
3,520,1001,3,149,1932.53,0.0,12.97,12.97,108,1400.76,0.0,12.97,12.97,531.77,41,37.96,1,30,541.11,392.21
4,520,1001,0,107,1387.79,0.0,12.97,12.97,121,1412.07,156.94,12.97,11.67,-24.28,-14,-1.72,0,0,388.58,395.38
5,520,1001,1,123,1435.41,159.53,12.97,11.67,123,1595.31,0.0,12.97,12.97,-159.9,0,-10.02,1,16,401.91,446.69
6,520,1001,0,112,1452.64,0.0,12.97,12.97,112,1307.04,145.26,12.97,11.67,145.6,0,11.14,0,0,406.74,365.97
7,520,1001,3,132,1712.04,0.0,12.97,12.97,105,1361.85,0.0,12.97,12.97,350.19,27,25.71,1,26,479.37,381.32
8,520,1001,0,108,1400.76,0.0,12.97,12.97,110,1426.7,0.0,12.97,12.97,-25.94,-2,-1.82,0,0,392.21,399.48
9,520,1001,0,111,1439.67,0.0,12.97,12.97,114,1478.58,0.0,12.97,12.97,-38.91,-3,-2.63,0,0,403.11,414.0
10,520,1001,0,111,1439.67,0.0,12.97,12.97,108,1400.76,0.0,12.97,12.97,38.91,3,2.78,0,0,403.11,392.21
11,520,1001,1,133,1552.11,172.5,12.97,11.67,107,1387.79,0.0,12.97,12.97,164.32,26,11.84,1,17,434.59,388.58
12,520,1001,0,117,1517.49,0.0,12.97,12.97,109,1413.73,0.0,12.97,12.97,103.76,8,7.34,0,0,424.9,395.84
13,520,1001,0,132,1712.04,0.0,12.97,12.97,137,1776.89,0.0,12.97,12.97,-64.85,-5,-3.65,0,0,479.37,497.53
14,520,1001,0,124,1608.28,0.0,12.97,12.97,126,1634.22,0.0,12.97,12.97,-25.94,-2,-1.59,0,0,450.32,457.58
15,520,1001,3,158,2049.26,0.0,12.97,12.97,161,2088.17,0.0,12.97,12.97,-38.91,-3,-1.86,1,31,573.79,584.69
16,520,1001,0,135,1750.95,0.0,12.97,12.97,135,1575.45,175.1,12.97,11.67,175.5,0,11.14,0,0,490.27,441.13
17,520,1001,0,132,1712.04,0.0,12.97,12.97,126,1634.22,0.0,12.97,12.97,77.82,6,4.76,0,0,479.37,457.58
18,520,1001,0,120,1556.4,0.0,12.97,12.97,114,1478.58,0.0,12.97,12.97,77.82,6,5.26,0,0,435.79,414.0
19,520,1001,0,124,1608.28,0.0,12.97,12.97,114,1478.58,0.0,12.97,12.97,129.7,10,8.77,0,0,450.32,414.0
20,520,1001,0,113,1465.61,0.0,12.97,12.97,116,1504.52,0.0,12.97,12.97,-38.91,-3,-2.59,0,0,410.37,421.27
21,520,1001,0,121,1569.37,0.0,12.97,12.97,108,1400.76,0.0,12.97,12.97,168.61,13,12.04,0,0,439.42,392.21
22,520,1001,0,112,1452.64,0.0,12.97,12.97,121,1412.07,156.94,12.97,11.67,40.57,-9,2.87,0,0,406.74,395.38
23,520,1001,0,104,1348.88,0.0,12.97,12.97,104,1348.88,0.0,12.97,12.97,0.0,0,0.0,0,0,377.69,377.69
24,520,1001,0,108,1400.76,0.0,12.97,12.97,102,1322.94,0.0,12.97,12.97,77.82,6,5.88,0,0,392.21,370.42
25,520,1001,0,115,1491.55,0.0,12.97,12.97,106,1374.82,0.0,12.97,12.97,116.73,9,8.49,0,0,417.63,384.95
26,520,1001,0,131,1699.07,0.0,12.97,12.97,137,1598.79,177.69,12.97,11.67,100.28,-6,6.27,0,0,475.74,447.66
27,520,1001,3,152,1971.44,0.0,12.97,12.97,109,1413.73,0.0,12.97,12.97,557.71,43,39.45,1,30,552.0,395.84
28,520,1001,0,120,1556.4,0.0,12.97,12.97,114,1478.58,0.0,12.97,12.97,77.82,6,5.26,0,0,435.79,414.0
29,520,1001,3,145,1880.65,0.0,12.97,12.97,119,1543.43,0.0,12.97,12.97,337.22,26,21.85,1,29,526.58,432.16
30,520,1001,0,121,1569.37,0.0,12.97,12.97,132,1540.44,171.2,12.97,11.67,28.93,-11,1.88,0,0,439.42,431.32
31,520,1001,0,128,1660.16,0.0,12.97,12.97,125,1621.25,0.0,12.97,12.97,38.91,3,2.4,0,0,464.84,453.95
32,520,1001,0,133,1725.01,0.0,12.97,12.97,131,1699.07,0.0,12.97,12.97,25.94,2,1.53,0,0,483.0,475.74
33,520,1001,0,125,1621.25,0.0,12.97,12.97,120,1556.4,0.0,12.97,12.97,64.85,5,4.17,0,0,453.95,435.79
34,520,1001,0,134,1737.98,0.0,12.97,12.97,122,1582.34,0.0,12.97,12.97,155.64,12,9.84,0,0,486.63,443.06
35,520,1001,1,142,1657.14,184.17,12.97,11.67,131,1699.07,0.0,12.97,12.97,-41.93,11,-2.47,1,18,464.0,475.74
36,520,1001,2,150,1750.5,194.55,12.97,11.67,118,1530.46,0.0,12.97,12.97,220.04,32,14.38,1,35,490.14,428.53
37,520,1001,0,111,1439.67,0.0,12.97,12.97,106,1374.82,0.0,12.97,12.97,64.85,5,4.72,0,0,403.11,384.95
38,520,1001,0,116,1504.52,0.0,12.97,12.97,120,1556.4,0.0,12.97,12.97,-51.88,-4,-3.33,0,0,421.27,435.79
39,520,1001,0,123,1595.31,0.0,12.97,12.97,131,1699.07,0.0,12.97,12.97,-103.76,-8,-6.11,0,0,446.69,475.74
40,520,1001,3,148,1919.56,0.0,12.97,12.97,106,1374.82,0.0,12.97,12.97,544.74,42,39.62,1,29,537.48,384.95
41,520,1001,0,122,1582.34,0.0,12.97,12.97,106,1374.82,0.0,12.97,12.97,207.52,16,15.09,0,0,443.06,384.95
42,520,1001,0,120,1556.4,0.0,12.97,12.97,104,1348.88,0.0,12.97,12.97,207.52,16,15.38,0,0,435.79,377.69
43,520,1001,0,126,1634.22,0.0,12.97,12.97,136,1763.92,0.0,12.97,12.97,-129.7,-10,-7.35,0,0,457.58,493.9
44,520,1001,0,129,1673.13,0.0,12.97,12.97,135,1575.45,175.1,12.97,11.67,97.68,-6,6.2,0,0,468.48,441.13
45,520,1001,0,128,1660.16,0.0,12.97,12.97,143,1854.71,0.0,12.97,12.97,-194.55,-15,-10.49,0,0,464.84,519.32
46,520,1001,4,153,1984.41,0.0,12.97,12.97,130,1686.1,0.0,12.97,12.97,298.31,23,17.69,1,17,555.63,472.11
47,520,1001,3,197,2555.09,0.0,12.97,12.97,146,1893.62,0.0,12.97,12.97,661.47,51,34.93,1,40,715.43,530.21
48,520,1001,0,161,2088.17,0.0,12.97,12.97,142,1841.74,0.0,12.97,12.97,246.43,19,13.38,0,0,584.69,515.69
49,520,1001,0,139,1802.83,0.0,12.97,12.97,130,1686.1,0.0,12.97,12.97,116.73,9,6.92,0,0,504.79,472.11
50,520,1001,3,156,2023.32,0.0,12.97,12.97,122,1582.34,0.0,12.97,12.97,440.98,34,27.87,1,31,566.53,443.06
51,520,1001,0,133,1725.01,0.0,12.97,12.97,118,1530.46,0.0,12.97,12.97,194.55,15,12.71,0,0,483.0,428.53
52,520,1001,0,134,1737.98,0.0,12.97,12.97,134,1737.98,0.0,12.97,12.97,0.0,0,0.0,0,0,486.63,486.63
1,666,1001,0,205,2658.85,0.0,12.97,12.97,187,2425.39,0.0,12.97,12.97,233.46,18,9.63,0,0,744.48,679.11
2,666,1001,0,165,2140.05,0.0,12.97,12.97,162,2101.14,0.0,12.97,12.97,38.91,3,1.85,0,0,599.21,588.32
3,666,1001,3,208,2697.76,0.0,12.97,12.97,147,1906.59,0.0,12.97,12.97,791.17,61,41.5,1,41,755.37,533.85
4,666,1001,0,165,2140.05,0.0,12.97,12.97,173,2018.91,224.38,12.97,11.67,121.14,-8,6.0,0,0,599.21,565.29
5,666,1001,1,186,2170.62,241.24,12.97,11.67,189,2451.33,0.0,12.97,12.97,-280.71,-3,-11.45,1,25,607.77,686.37
6,666,1001,0,156,2023.32,0.0,12.97,12.97,162,1890.54,210.11,12.97,11.67,132.78,-6,7.02,0,0,566.53,529.35
7,666,1001,3,198,2568.06,0.0,12.97,12.97,157,2036.29,0.0,12.97,12.97,531.77,41,26.11,1,39,719.06,570.16
8,666,1001,0,165,2140.05,0.0,12.97,12.97,154,1997.38,0.0,12.97,12.97,142.67,11,7.14,0,0,599.21,559.27
9,666,1001,0,157,2036.29,0.0,12.97,12.97,154,1997.38,0.0,12.97,12.97,38.91,3,1.95,0,0,570.16,559.27
10,666,1001,0,177,2295.69,0.0,12.97,12.97,165,2140.05,0.0,12.97,12.97,155.64,12,7.27,0,0,642.79,599.21
11,666,1001,1,195,2275.65,252.92,12.97,11.67,161,2088.17,0.0,12.97,12.97,187.48,34,8.98,1,26,637.18,584.69
12,666,1001,0,185,2399.45,0.0,12.97,12.97,171,2217.87,0.0,12.97,12.97,181.58,14,8.19,0,0,671.85,621.0
13,666,1001,0,194,2516.18,0.0,12.97,12.97,199,2581.03,0.0,12.97,12.97,-64.85,-5,-2.51,0,0,704.53,722.69
14,666,1001,0,184,2386.48,0.0,12.97,12.97,173,2243.81,0.0,12.97,12.97,142.67,11,6.36,0,0,668.21,628.27
15,666,1001,3,248,3216.56,0.0,12.97,12.97,223,2892.31,0.0,12.97,12.97,324.25,25,11.21,1,50,900.64,809.85
16,666,1001,0,175,2269.75,0.0,12.97,12.97,211,2462.37,273.67,12.97,11.67,-192.62,-36,-7.82,0,0,635.53,689.46
17,666,1001,0,208,2697.76,0.0,12.97,12.97,196,2542.12,0.0,12.97,12.97,155.64,12,6.12,0,0,755.37,711.79
18,666,1001,0,175,2269.75,0.0,12.97,12.97,160,2075.2,0.0,12.97,12.97,194.55,15,9.38,0,0,635.53,581.06
19,666,1001,0,180,2334.6,0.0,12.97,12.97,161,2088.17,0.0,12.97,12.97,246.43,19,11.8,0,0,653.69,584.69
20,666,1001,0,178,2308.66,0.0,12.97,12.97,150,1945.5,0.0,12.97,12.97,363.16,28,18.67,0,0,646.42,544.74
21,666,1001,0,158,2049.26,0.0,12.97,12.97,154,1997.38,0.0,12.97,12.97,51.88,4,2.6,0,0,573.79,559.27
22,666,1001,0,155,2010.35,0.0,12.97,12.97,180,2100.6,233.46,12.97,11.67,-90.25,-25,-4.3,0,0,562.9,588.17
23,666,1001,0,149,1932.53,0.0,12.97,12.97,144,1867.68,0.0,12.97,12.97,64.85,5,3.47,0,0,541.11,522.95
24,666,1001,0,153,1984.41,0.0,12.97,12.97,138,1789.86,0.0,12.97,12.97,194.55,15,10.87,0,0,555.63,501.16
25,666,1001,0,165,2140.05,0.0,12.97,12.97,148,1919.56,0.0,12.97,12.97,220.49,17,11.49,0,0,599.21,537.48
26,666,1001,0,176,2282.72,0.0,12.97,12.97,207,2415.69,268.48,12.97,11.67,-132.97,-31,-5.5,0,0,639.16,676.39
27,666,1001,3,215,2788.55,0.0,12.97,12.97,159,2062.23,0.0,12.97,12.97,726.32,56,35.22,1,43,780.79,577.42
28,666,1001,0,183,2373.51,0.0,12.97,12.97,162,2101.14,0.0,12.97,12.97,272.37,21,12.96,0,0,664.58,588.32
29,666,1001,3,232,3009.04,0.0,12.97,12.97,166,2153.02,0.0,12.97,12.97,856.02,66,39.76,1,46,842.53,602.85
30,666,1001,0,174,2256.78,0.0,12.97,12.97,196,2287.32,254.21,12.97,11.67,-30.54,-22,-1.34,0,0,631.9,640.45
31,666,1001,0,176,2282.72,0.0,12.97,12.97,167,2165.99,0.0,12.97,12.97,116.73,9,5.39,0,0,639.16,606.48
32,666,1001,0,179,2321.63,0.0,12.97,12.97,181,2347.57,0.0,12.97,12.97,-25.94,-2,-1.1,0,0,650.06,657.32
33,666,1001,0,178,2308.66,0.0,12.97,12.97,183,2373.51,0.0,12.97,12.97,-64.85,-5,-2.73,0,0,646.42,664.58
34,666,1001,0,190,2464.3,0.0,12.97,12.97,177,2295.69,0.0,12.97,12.97,168.61,13,7.34,0,0,690.0,642.79
35,666,1001,1,195,2275.65,252.92,12.97,11.67,189,2451.33,0.0,12.97,12.97,-175.68,6,-7.17,1,25,637.18,686.37
36,666,1001,2,219,2555.73,284.04,12.97,11.67,165,2140.05,0.0,12.97,12.97,415.68,54,19.42,1,51,715.6,599.21
37,666,1001,0,175,2269.75,0.0,12.97,12.97,167,2165.99,0.0,12.97,12.97,103.76,8,4.79,0,0,635.53,606.48
38,666,1001,0,162,2101.14,0.0,12.97,12.97,168,2178.96,0.0,12.97,12.97,-77.82,-6,-3.57,0,0,588.32,610.11
39,666,1001,0,179,2321.63,0.0,12.97,12.97,196,2542.12,0.0,12.97,12.97,-220.49,-17,-8.67,0,0,650.06,711.79
40,666,1001,3,214,2775.58,0.0,12.97,12.97,150,1945.5,0.0,12.97,12.97,830.08,64,42.67,1,43,777.16,544.74
41,666,1001,0,171,2217.87,0.0,12.97,12.97,155,2010.35,0.0,12.97,12.97,207.52,16,10.32,0,0,621.0,562.9
42,666,1001,0,162,2101.14,0.0,12.97,12.97,155,2010.35,0.0,12.97,12.97,90.79,7,4.52,0,0,588.32,562.9
43,666,1001,0,174,2256.78,0.0,12.97,12.97,205,2658.85,0.0,12.97,12.97,-402.07,-31,-15.12,0,0,631.9,744.48
44,666,1001,0,187,2425.39,0.0,12.97,12.97,181,2112.27,234.76,12.97,11.67,313.12,6,14.82,0,0,679.11,591.44
45,666,1001,0,193,2503.21,0.0,12.97,12.97,225,2918.25,0.0,12.97,12.97,-415.04,-32,-14.22,0,0,700.9,817.11
46,666,1001,4,213,2762.61,0.0,12.97,12.97,186,2412.42,0.0,12.97,12.97,350.19,27,14.52,1,23,773.53,675.48
47,666,1001,3,286,3709.42,0.0,12.97,12.97,219,2840.43,0.0,12.97,12.97,868.99,67,30.59,1,57,1038.64,795.32
48,666,1001,0,218,2827.46,0.0,12.97,12.97,211,2736.67,0.0,12.97,12.97,90.79,7,3.32,0,0,791.69,766.27
49,666,1001,0,201,2606.97,0.0,12.97,12.97,172,2230.84,0.0,12.97,12.97,376.13,29,16.86,0,0,729.95,624.64
50,666,1001,3,243,3151.71,0.0,12.97,12.97,166,2153.02,0.0,12.97,12.97,998.69,77,46.39,1,48,882.48,602.85
51,666,1001,0,179,2321.63,0.0,12.97,12.97,164,2127.08,0.0,12.97,12.97,194.55,15,9.15,0,0,650.06,595.58
52,666,1001,0,190,2464.3,0.0,12.97,12.97,174,2256.78,0.0,12.97,12.97,207.52,16,9.2,0,0,690.0,631.9
1,178,1001,0,202,2619.94,0.0,12.97,12.97,182,2360.54,0.0,12.97,12.97,259.4,20,10.99,0,0,733.58,660.95
2,178,1001,0,175,2269.75,0.0,12.97,12.97,156,2023.32,0.0,12.97,12.97,246.43,19,12.18,0,0,635.53,566.53
3,178,1001,3,210,2723.7,0.0,12.97,12.97,164,2127.08,0.0,12.97,12.97,596.62,46,28.05,1,42,762.64,595.58
4,178,1001,0,161,2088.17,0.0,12.97,12.97,174,2030.58,225.68,12.97,11.67,57.59,-13,2.84,0,0,584.69,568.56
5,178,1001,1,192,2240.64,249.02,12.97,11.67,193,2503.21,0.0,12.97,12.97,-262.57,-1,-10.49,1,25,627.38,700.9
6,178,1001,0,151,1958.47,0.0,12.97,12.97,176,2053.92,228.27,12.97,11.67,-95.45,-25,-4.65,0,0,548.37,575.1
7,178,1001,3,194,2516.18,0.0,12.97,12.97,156,2023.32,0.0,12.97,12.97,492.86,38,24.36,1,39,704.53,566.53
8,178,1001,0,160,2075.2,0.0,12.97,12.97,149,1932.53,0.0,12.97,12.97,142.67,11,7.38,0,0,581.06,541.11
9,178,1001,0,176,2282.72,0.0,12.97,12.97,165,2140.05,0.0,12.97,12.97,142.67,11,6.67,0,0,639.16,599.21
10,178,1001,0,180,2334.6,0.0,12.97,12.97,165,2140.05,0.0,12.97,12.97,194.55,15,9.09,0,0,653.69,599.21
11,178,1001,1,212,2474.04,274.96,12.97,11.67,165,2140.05,0.0,12.97,12.97,333.99,47,15.61,1,28,692.73,599.21
12,178,1001,0,181,2347.57,0.0,12.97,12.97,165,2140.05,0.0,12.97,12.97,207.52,16,9.7,0,0,657.32,599.21
